Year,Quiz-total,Exam-total,Participation,Extra-credit,Total,Grade
2014,19,103,14.5,0,137,B-
2014,33,120,15,0,168,A
2014,26,107,15,0,148,A-
2014,18,80,14.5,0,115,C
2014,27,109,15,0,151,A-
2014,12,94,3,0,109,D
2014,34,118,10,0,162,A
2014,28,99,13,0,140,B
2014,31,124,14.5,0,170,A
2014,28,125,15,0,168,A
2014,22,123,7,0,152,A-
2014,24,94,14,0,132,B-
2014,30,113,15,0,158,A
2014,19,83,6,0,108,D
2014,30,97,13,0,140,B
2014,34,117,15,0,166,A
2014,20,95,15,0,130,C+
2014,23,83,9,0,115,C
2014,28,102,15,0,145,B+
2014,18,71,15,0,104,D
2014,22,97,15,0,134,B-
2014,29,111,15,0,155,A
2014,17,92,15,0,124,C
2014,34,115,15,0,164,A
2014,22,90,15,0,127,C+
2014,21,104,15,0,140,B
2014,34,124,15,0,173,A
2014,26,106,9,0,141,B
2014,18,93,14,0,125,C
2014,26,116,13,0,155,A
2014,33,114,15,0,162,A
2014,30,111,14,0,155,A
2014,29,115,15,0,159,A
2014,37,126,15,0,178,A
2014,24,95,12.5,0,132,B-
2014,27,95,15,0,137,B-
2014,21,98,15,0,134,B-
2014,19,81,15,0,115,C
2014,33,117,15,0,165,A
2014,30,115,15,0,160,A
2014,22,79,15,0,116,C
2014,25,108,15,0,148,A-
2014,33,121,15,0,169,A
2014,23,108,14,0,145,B+
2014,32,119,13,0,164,A
2014,28,95,15,0,138,B-
2014,18,73,15,0,106,D
2014,15,98,14,0,127,C+
2014,31,115,15,0,161,A
2014,26,111,15,0,152,A-
2014,30,126,14.5,0,171,A
2014,36,121,15,0,172,A
2014,20,95,15,0,130,C+
2014,29,105,15,0,149,A-
2014,32,117,15,0,164,A
2014,31,108,15,0,154,A-
2014,29,114,15,0,158,A
2014,31,114,15,0,160,A
2014,34,105,15,0,154,A-
2014,21,109,7,0,137,B-
2014,29,114,15,0,158,A
2014,12,82,9,0,103,D
2014,18,101,15,0,134,B-
2014,34,114,15,0,163,A
2014,27,108,14,0,149,A-
2014,23,109,15,0,147,B+
2014,29,122,15,0,166,A
2014,31,115,15,0,161,A
2014,32,119,13,0,164,A
2014,21,101,13,0,135,B-
2014,25,111,14,0,150,A-
2014,19,74,13.5,0,107,D
2014,18,69,13,0,100,D
2014,35,128,15,0,178,A
2014,21,111,14,0,146,B+
2014,23,106,12,0,141,B
2014,32,120,7,0,159,A
2014,21,86,15,0,122,C
2014,32,124,15,0,171,A
2014,17,98,12,0,127,C+
2014,35,120,15,0,170,A
2014,12,96,5,0,113,D
2014,23,94,14,0,131,C+
2014,35,125,15,0,175,A
2014,17,84,15,0,116,C
2014,30,111,15,0,156,A
2014,20,60,14,0,94,F
2014,31,103,15,0,149,A-
2014,28,95,7.5,0,131,C+
2014,20,102,12,0,134,B-
2014,24,111,12,0,147,B+
2014,28,108,15,0,151,A-
2014,33,115,15,0,163,A
2011,27,105,12,2,151,A-
2011,18,129,10,0,157,A
2011,24,102.2,2,0,132,C+
2011,29,105,10,2,164,A
2011,16,82,6,0,109,D
2011,28,122,13,0,166,A+
2011,24,85.2,15,2,145,B+
2011,28,119,6,0,161,A
2011,27,120,14,0,173,A+
2011,20,88.2,10,0,126,C
2011,28,121,15,0,171,A+
2011,27,84,8,0,119,C
2011,15,89,4,2,117,C
2011,21,91,13,0,131,C+
2011,24,99,7,0,135,B-
2011,25,110,13,2,164,A
2011,21,91,14,2,141,B
2011,25,121,14,0,165,A+
2011,27,124,11,0,162,A
2011,30,118,8,0,157,A
2011,23,97,6,0,126,C
2011,29,104,13,2,157,A
2011,27,105.2,12,2,146,B+
2011,19,102,11,0,139,B-
2011,10,75.2,2,2,99,D
2011,24,122,11,0,157,A
2011,19,107,7,0,133,B-
2011,20,112,9,0,154,A-
2011,25,105,3,0,133,B-
2011,13,28,4,0,45,F
2011,27,112.2,13,0,158,A
2011,21,105,11,2,153,A-
2011,22,110,5,0,140,B
2011,29,111,12,2,159,A
2011,9,101,3,0,113,D
2011,29,118,13,0,180,A+
2011,21,94.2,9,2,138,B-
2011,26,120,14,0,180,A+
2011,14,91,6,2,118,C
2011,18,84,4,2,118,C
2011,25,95,4,0,124,C
2011,30,122,15,0,176,A+
2011,28,125,11,0,170,A+
2011,17,85,11,2,133,B-
2011,20,96,3,0,123,C
2011,23,125,11,0,160,A
2011,26,128,12,0,172,A+
2011,11,76,5,0,116,C
2011,25,122,10,0,157,A
2011,17,87.2,14,0,132,B-
2011,20,116,7,0,155,A
2011,15,86.2,5,0,106,D
2011,21,99.2,15,2,146,B+
2011,17,80,14,2,133,B-
2011,28,121,13,0,162,A
2011,24,117,13,2,162,A
2011,24,95.2,12,0,136,B-
2011,23,106.2,9,0,155,A-
2011,25,100.2,8,0,145,B+
2011,25,92,8,2,132,B-
2011,26,119,13,0,171,A+
2011,26,104,12,2,157,A
2011,24,112,13,0,162,A
2011,23,116,6,0,145,B+
2011,27,115,10,2,162,A
2011,28,111,10,2,152,A-
2011,17,108,2,0,136,B-
2011,10,96.2,2,0,116,C
2011,17,71,3,0,91,F
2011,24,112,9,0,150,A-
2011,24,113,10,2,154,A-
2011,27,117,10,0,164,A
2011,29,120,13,0,175,A+
2011,19,76,15,0,116,C
2011,25,116.2,7,0,156,A
2011,5,39,2,0,47,F
2011,20,125,11,0,163,A
2011,8,83.2,2,0,93,F
2011,27,115,8,2,158,A
2011,28,116,8,2,156,A
2011,29,116,10,0,156,A
2011,26,107.2,2,0,135,B-
2011,24,117,7,0,155,A
